16.,"Levocetirizine
Dihydrochloride
Syrup 30 ml","B. No.: LZR-2211
Mfg dt: 01/2022
Exp dt: 12/2023
Mfd by: M/s. Apple
Formulations Pvt. Ltd.,
Plot No. 208, Kishanpur,
Roorkee – 247 667,
Uttarakhand.",pH,"Drug
Control
Department
Bihar","RDTL
Guwahati"
17.,"B-Complex
Capsules","B. No.: UGC22130
Mfg dt: 06/2022
Exp dt: 11/2023
Mfd by: M/s. UNIMARCK
HEALTHCARE LTD.
Plot No. 24, 25 & 37,
Sector 6A, SIDCUL,
Haridwar-249403,
Uttarakhand.",Description,"Drug
Control
Department
Bihar","RDTL
Guwahati"
18.,"RL-500 ml
Compound
Sodium Lactate
Injection I.P.","B. No.: S2FBV07
Mfg dt: 01/2022
Exp dt: 12/2023
Mfd by: M/s. SWAROOP
Pharmaceuticals Pvt.
Ltd., A-10, Tala Nagari,
Industrial Area,
Aligarh – 202 001, Uttar
Pradesh.","Sterility and
Bacterial Endotoxins","Drug
Control
Department
Mizoram","RDTL
Guwahati"
19.,"B-Complex
Capsules","B. No.: UGC22131
Mfg dt: 06/2022
Exp dt: 11/2023
Mfd by: M/s. UNIMARCK
HEALTHCARE LTD.
Plot No. 24, 25 & 37,
Sector 6A, SIDCUL,
Haridwar-249403
Uttarakhand.",Description,"Drug
Control
Department
Bihar","RDTL
Guwahati"
"21.
.","Amoxycillin 250
mg and Cloxacillin
250 mg Capsules","B. No.: 21BC012
Mfg dt: 05/2021
Exp dt: 04/2023
Mfd by: M/s. Maxmed
Lifesciences Pvt. Ltd.
Plot No-54, Sector-IIDC,
SIDCUL, Rudrapur,
Uttarakhand.",Description,"Drug
Control
Department
Meghalaya","RDTL
Guwahati"
22.,"Zinc Sulphate Oral
Solution I.P.,
100 ml","B. No.: ZCH-2209
Mfg dt: 01/2022
Exp dt: 12/2023
Mfd by: M/s. Apple
Formulations Pvt. Ltd.,
Plot No. 208, Kishanpur,
Roorkee – 247 667,
Uttarakhand.",Weight per ml,"Drug
Control
Department
Bihar","RDTL
Guwahati"
23.,"KOOCAL-500
Tablets
(Calcium with
Vitamin D Tablets
IP)","B. No.: TG21-2330
Mfg dt: 09/2021
Exp dt: 02/2023
Mfd by: M/s. Athens Life
Sciences Mauza Rampur
Jattan, Nahan Road, Kala
Amb, Distt. Sirmour,
Himachal Pradesh .-
173030.","Assay of Vitamin
D3","Drug
Control
Department
Mizoram","RDTL
Guwahati"
24.,"KOOCAL-500
(Calcium with
Vitamin D Tablets
IP)","B. No.: TG21-2550
Mfg dt: 10/2021
Exp dt: 03/2023
Mfd by: M/s. Athens Life
Sciences , Mauza
Rampur Jattan, Nahan
Road, Kala Amb, Distt.
Sirmour, Himachal
Pradesh -173030.","Assay of Vitamin
D3","Drug
Control
Department
Mizoram","RDTL
Guwahati"
25.,"Zinc Sulphate
Tablets 50 mg
Zincload-50","B. No.: LMT210773
Mfg dt: 08/2021
Exp dt: 07/2023
Mfd by: M/s. Life Max
Cancer Laboratories
Plot No. 106 & 106 A,
Sector-6A, IIE,
SIDCUL, Haridwar-
249 403, Uttarakhand.",Disintegration,"Drug
Control
Department
Mizoram","RDTL
Guwahati"
26.,"Neurace (Vitamin
A, C, E &
Selenium
Capsules )","B. No.: C00458
Mfg dt: 07/2022
Exp dt: 12/2023
Mfd by: M/s. East West
Pharma (India) Pvt. Ltd.,
Kh No. 196, Raipur
Industrial Area,
Bhagwanpur, Roorkee,
Dist. Haridwar,
Uttarakhand – 247 661,
India.","Assay of
Vitamin A","CDSCO
East Zone
Kolkata","CDL
Kolkata"
27.,"Hycorlin 100 mg
(Hydrocortisone
Sodium Succinate
Injection IP)","B. No.: DD2I002
Mfg dt: 09/2022
Exp dt: 08/2024
Mfd by: M/s. Scott - Edil
Pharmecia Ltd., 56,
E.P.I.P. Phase I,
Jharmajri, Baddi Distt.
Solan – 173 205 (H.P.),
India.",Clarity of Solution,"CDSCO
East Zone
Kolkata","CDL
Kolkata"
28.,"ORLICA (Orlistat
Capsules U.S.P.
120 mg)","B. No.: G22OEB001
Mfg dt: 06/2022
Exp dt: 05/2024
Mfd by: M/s. Acme
Generics Private Limited,
Plot No. 115, HPSIDC,
Industrial Area, Vill.
Davni, P.O. Gurumajra,
Tehsil Nalagarh, Distt.
Solan, Himachal
Pradesh, 174101, India.",Dissolution,"CDSCO
East Zone
Kolkata","CDL
Kolkata"
30.,"SECROX
(Cefuroxime
Injection I.P. 1.5
gm), Sterile water
for Injection I.P.
20 ml","B. No.: AB301008C
Mfg dt: 05/2021
Exp dt: 04/2023
Mfd by: M/s. Bengene
Life Sciences Pvt. Ltd.
Village Kishanpura, P.O.
Manpura, Baddi -
Nalagarh Road, Tehsil -
Nalagarh, Distt. Solan,
H.P. 174 101 (India).
For WFI:
B. No.: WM21E005,
Mfg dt: 05/2021,
Exp dt: 04/2024,
Mfd by: M/s. Hindustan
Polyfab, Plot No. 12, Ind
Area, Davni Baddi,
Himachal Pradesh – 173
205.",Particulate Matter,"CDSCO
South Zone
Chennai","CDL
Kolkata"
31.,"SECROX
(Cefuroxime
Injection I.P. 1.5
gm), Sterile water
for Injection I.P.
20 ml","B. No.: FAB302008
Mfg dt: 04/2022
Exp dt: 03/2024
Mfd by: M/s. Bengene
Life Sciences Pvt. Ltd.
Village Kishanpura, P.O.
Manpura, Baddi -
Nalagarh Road, Tehsil -
Nalagarh, Distt. Solan,
Himachal Pradesh - 174
101 (India).
For WFI:
B. No.: FW20-09,
Mfg dt: 02/2022,
Exp dt: 01/2027,
Mfd by: M/s. Bhanu
Healthcare Pvt. Ltd.,",Particulate Matter,"CDSCO
South Zone
Chennai","CDL
Kolkata"
32.,"Romavit Capsules
(Amino Acids,
Biotin, Folic Acid,
Vitamins and
Minerals
Capsules)","B. No.: K21CS-63
Mfg dt: 09/2021
Exp dt: 02/2023
Mfd by: M/s. Kaizen
Research Labs India Pvt.
Ltd., No. 705/5B, Old
Thiruthani Salai,
Melpudupettai,
Ananthalai Panchayat,
Walajapet T.K. Vellore,
District -632513,
Tamilnadu.","Description, Assay
of Folic Acid, N-
Acetyl Cysteine,
Ascorbic Acid","CDSCO
South Zone
Chennai","CDL
Kolkata"
33.,"Romavit Capsules
(Amino Acids,
Biotin, Folic Acid,
Vitamins and
Minerals
Capsules)","B. No.: K22CS-36
Mfg dt: 05/2022
Exp dt: 10/2023
Mfd by: M/s. Kaizen
Research Labs India Pvt.
Ltd., No. 705/5B, Old
Thiruthani Salai,
Melpudupettai,
Ananthalai - Panchayat,
Walajapet T.K. Vellore,
District – 632 513,
Tamilnadu.","Description, Assay
of N-Acetyl Cysteine","CDSCO
South Zone
Chennai","CDL
Kolkata"
34.,"Cuprox-10
(Isoxsuprine
Hydrochloride
Tablets I.P. 10 mg)","B. No.: G-153/4014
Mfg dt: 09/2021
Exp dt: 08/2023
Mfd by: M/s. Elfin Drugs
Pvt. Ltd., Vill. Berson,
Nalagarh, Himachal
Pradesh - 174 101.",Dissolution,"CDSCO
West Zone
Mumbai","CDL
Kolkata"
35.,"Montelukast
Sodium and
Levocetirizine
Hydrochloride
Tablets IP","B. No.: TE2027A
Mfg dt: 05/2022
Exp dt: 04/2024
Mfd by: M/s. Navkar
Lifesciences, Plot No. 76,
Lodhi Majra, Industrial
Area, Baddi, Distt. Solan,
Himachal Pradesh.",Description,"CDSCO
West Zone
Mumbai","CDL
Kolkata"
37.,"Budecort Respules
0.5 mg
(Budesonide
Nebuliser
Suspension B.P.)","B. No.: IA20131
Mfg dt: 02/2022
Exp dt: 01/2024
Mfd by: M/s. Cipla Ltd.,
Plot 9 & 10, Indore SEZ
Pithampur, Madhya
Pradesh - 454 775, India",Assay,"CDSCO
Ahmedabad","CDL
Kolkata"
38.,"Montellion-10
(Montelukast
Tablets IP 10 mg)","B. No.: T3092
Mfg dt: 10/2022
Exp dt: 09/2024
Mfd by: M/s. Stallion
Laboratories Pvt. Ltd., C-
1B, 305/2, 3 4 & 5,
G.I.D.C. Kerala (Bavla),
Distt. Ahmeadbad -
382220, Gujarat.",Assay,"CDSCO
Ahmedabad","CDL
Kolkata"
39.,"Pan -D
(Pantoprazole
Gastro-Resistant
and Domperidone
Prolonged Release
Capsules IP)","B. No.: 22442611
Mfg dt: 09/2022
Exp dt: 08/2024
Mfd by: M/s. Alkem
Health Science, A unit of
Alkem Laboratories
Limited, Unit -2,
Samardung, Karek Block,
P.O. Namthang, South
Sikkim – 737 137.","Identification and
Assay","CDSCO
East Zone
Kolkata","CDL
Kolkata"
40.,"Pantocid DSR
(Pantoprazole
Gastro-Resistant
and Domperidon
Prolonged Release
Capsules IP)","B. No.: SID0427A
Mfg dt: 02/2022
Exp dt: 01/2024
Mfd by: M/s. Sun Pharma
Laboratories Ltd., Plot
No. 107-108, Namli
Block, P.O. Ranipool,
East Sikkim 737 135.","Identification and
Assay","CDSCO
East Zone
Kolkata","CDL
Kolkata
*Remark:
The firm M/s.
Sun Pharma,
notified this
office regarding
availability of
Spurious/
Counterfeit of
the said batch of
drug."
41.,"Metronidazole
Tablets IP 400 mg","B. No.: 3000521
Mfg dt: 03/2021
Exp dt: 02/2024
Mfd by: M/s. Karnataka
Antibiotics and
Pharmaceuticals Ltd.,
Plot No.14, II Phase,
Peenya Industrial Area,
Bengaluru-560058.",Dissolution,"CDSCO
Subzone
Bangalore","CDTL
Chennai"
42.,"Apvaas 20
(Atorvastatin
Calcium Tablets
USP 20 mg)","B. No.: RE641
Mfg dt: 08/2022
Exp dt: 07/2025
Mfd by: M/s. Rivon
Pharmaceuticals LLP,
Plot No.33, Kamla Amrut
Industrial Park, Indrad,
Tal. Kadi, District :
Mehsana, Gujarat.",Uniformity of weight,"CDSCO
Zonal Office
Ahmedabad","CDTL
Mumbai"
43.,"Neorelax Gel
(Diclofenac Gel
I.P.)","B. No.: Q2203
Mfg dt: 06/2022
Exp dt: 05/2024
Mfd by: M/s. Curetech
Skincare, Plot No. 33 &
34, Phase-IV, Bhatoli
Kalan, Baddi, Dist. Solan,
Himachal Pradesh - 173
205.",Related substances,"CDSCO
West-Zone
Mumbai","CDTL
Mumbai"
44.,"Hydroxyzine HCl
IP /BP","B. No.: 225004010
Mfg dt: 08/2022
Exp dt: 07/2027
Mfd by: M/s. Srikem
Laboratories Pvt. Ltd.,
Plot 17/24, 17/23, 17/22,
17/13, MIDC Taloja-
410208, Taluka Panvel,
Dist. Raigad,
Maharashtra.","Appearance of
solution","CDSCO
West - Zone
Mumbai","CDTL
Mumbai"
45.,"Hydroxyzine HCl
IP /BP","B. No.: 225004015
Mfg dt: 09/2022
Exp dt: 08/2027","Appearance of
solution","CDSCO
West - Zone
Mumbai","CDTL
Mumbai"
46.,"Hydroxyzine HCl
IP /BP","B. No.: 225004009
Mfg dt: 08/2022
Exp dt: 07/2027
Mfd by: M/s. Srikem
Laboratories Pvt. Ltd.,
Plot 17/24, 17/23, 17/22,
17/13, MIDC Taloja-
410208, Taluka Panvel,
Dist. Raigad.
Maharashtra.","Appearance of
solution","CDSCO
West - Zone
Mumbai","CDTL
Mumbai"
47.,"Hydroxyzine HCl
IP /BP","B. No.: 225004011
Mfg dt: 08/2022
Exp dt: 07/2027
Mfd by: M/s. Srikem
Laboratories Pvt. Ltd.,
Plot 17/24, 17/23, 17/22,
17/13, MIDC Taloja-
410208, Taluka Panvel,
Dist. Raigad.
Maharashtra.","Appearance of
solution","CDSCO
West - Zone
Mumbai","CDTL
Mumbai"
48.,"Hydroxyzine HCl
IP /BP","B. No.: 225004007
Mfg dt: 07/2022
Exp dt: 06/2027
Mfd by: M/s. Srikem
Laboratories Pvt. Ltd.,
Plot 17/24, 17/23, 17/22,
17/13, MIDC Taloja-
410208, Taluka Panvel,
Dist. Raigad.
Maharashtra.","Appearance of
solution","CDSCO
West - Zone
Mumbai","CDTL
Mumbai"
49.,"Chymnetra-Forte
(Trypsin-
Chymotrypsin
Tablets)","B. No.: TTP-22017
Mfg dt: 02/2022
Exp dt: 01/2025
Mfd by: M/s. D.R. Johns
Lab Pvt. Ltd – Plot No.3,
Sector 6A, IIE, SIDCUL,
Haridwar- 249403,","Disintegration time
and Assay","CDSCO
West - Zone
Mumbai","CDTL
Mumbai"
50.,"INDIFIBER
(Fenofibrate
Capsules I.P.)","B. No.: 6078
Mfg dt: 04/2022
Exp dt: 03/2024
Mfd by: M/s. INDILINA
PHARMACEUTICALS,
Hambran Road, Jainpur,
Ludhiana- 142027,
Punjab.",Dissolution,"CDSCO
West - Zone
Mumbai","CDTL
Mumbai"
51.,"Teneligliptin
Tablets I.P. 20mg
(ZITEN)","B. No.: 18220490
Mfg dt: 07/2022
Exp dt: 06.2024
Mfd by: M/s. Glenmark
Pharmaceuticals
Ltd.,Samlik Marchak,
Industrial Growth Centre,
East Sikkim, Sikkim-
737135",Dissolution,"CDSCO
Zonal Office
Hyderabad","CDTL
Hyderabad"
52.,"Adhesive Tape
USP (Micropore
Surgical Tape)","B. No.: R03200508
Mfg dt: 03/2020
Exp dt: 02/2025
Mfd by: M/s. 3M India
Limited, B-20, MIDC –
Ranjangaon, Tal. Shirur,
Pune, Maharashtra-
412 220.","Tensile strength per
2.54 cm of width","Drug
Control
Department
Gujarat","RDTL
Chandigarh"
53.,"Alpha Lipoic Acid,
Folic Acid,
Mecobalamin
Pyridoxine,
Viatmin D3 Tablet
(NILCOBAL-D
TABLETS)","B. No.: RP1T63
Mfg dt: 06/2022
Exp dt: 05/2023
Mfd by: M/s. Relieve
Pharmaceuticals, Khasra
No. 2032/2, Vill.
Chandpur The. Haroli,
Una, Himachal Pradesh.","Identification
and
Assay of Alpha
Lipoic Acid, Folic
Acid, Mecobalamin,
Vitamin D3 and the
Assay of Pyridoxine
Hydrochloride","Drug
Control
Department
Delhi","RDTL
Chandigarh"
54.,"Trypsin-
Chymotrypsin
Tablets
(CHYMORAL
FORTE TABLETS)","B. No.: 2JH3H019
Mfg dt: 04/2021
Exp dt: 03/2023
Mfd by: M/s. TORRENT
PHARMACEUTICLS
LTD., 32 No. Middle
Camp, NH-10, East
District, Gangtok, Sikkim-
737 135.","Disintegration test
(Acid Medium)","Drug
Control
Department
Delhi","RDTL
Chandigarh"
55.,"Cloxacillin Sodium
Capsules IP
500 mg","B. No.: RC220021
Mfg dt: 02/2022
Exp dt: 01/2024
Mfd by: M/s. Ridley Life
Science Pvt Ltd., D-1651,
DSIDC Indl Complex,
Narela, Delhi - 110040.","Assay of Cloxacillin
Sodium calculated
as Cloxacillin","Drug
Control
Department
Delhi","RDTL
Chandigarh"
56.,"Prednisolone
Tablets IP 5 mg","B. No.: DTB-130
Mfg dt: 01/2022
Exp dt: 12/2023
Mfd by: M/s.
DAFFODILLS
PHARMACEUTICALS
LTD., Jawahar Nagar,
Rohta Road, Meerut -
250 001, Uttar Pradesh
(INDIA).",Related Substances,"CDSCO
North Zone
Ghaziabad","RDTL
Chandigarh"
57.,"Voglibose Tablets
IP (0.2 mg)","B. No.: TV-880012
Mfg dt: 02/2022
Exp dt: 01/2024
Mfd by: M/s. Centurion
Remedies Pvt. Ltd., G/5
and G/6 industrial Estate
Gorwa, Vadodara-
390016, Gujarat.",Disintegration,"CDSCO
North Zone
Ghaziabad","RDTL
Chandigarh"
58.,"Peritoneal Dialysis
Solution IP with
1.5% w/v Dextrose","B. No.: PD2206101
Mfg dt: 06/2022
Exp dt: 05/2024
Mfd by: M/s. Mitra
Industries (P) Ltd., 14/4,
Delhi-Mathura Road,
Faridabad-121 003,
Haryana, India.","Assay of Calcium
Magnesium and
Lactate","CDSCO
North Zone
Ghaziabad","RDTL
Chandigarh"
59.,"Frusemide Tablets
IP 40 mg","B. No.: FXTZ-08
Mfg dt: 08/2022
Exp dt: 07/2024
Mfd by: M/s. Nestor
Pharmaceuticals, Limited,
11, Western, Extension
Area, Faridabad- 121
001, Haryana, India.","Uniformity of weight
and Dissolution test","CDSCO
North Zone
Ghaziabad","RDTL
Chandigarh"
61.,"Aceclofenac 100
mg &
Thiocolchicoside 4
mg Tablets
(Zerodol TH
4 Tablets)","B. No.: FXT011022AS
Mfg dt: 12/2021
Exp dt: 11/2024
Mfd by: M/s. Ipca
Laboratories Ltd.,
393/394, Melli Jorethang
Road, Gom Block,
Bharikhola, South
District, Sikkim-737 121.","Identification and
Assay of
Thiocolchicoside","Drug
Control
Department
Himarchal
Pradesh","RDTL
Chandigarh"
62.,"Aceclofenac 100
mg &
Thiocolchicoside 4
mg Tablets
(Zerodol TH
4 Tablets)","B. No.: FXT012008AS
Mfg dt: 03/2022
Exp dt: 02/2025
Mfd by: M/s. Ipca
Laboratories Ltd.,
393/394, Melli Jorethang
Road, Gom Block,
Bharikhola, South
District,
Sikkim-737 121.","Identification and
Assay of
Thiocolchicoside","Drug
Control
Department
Himarchal
Pradesh","RDTL
Chandigarh"
63.,"Loose yellow
colored Tablets
(Purported to
contain
Rosuvastatin
10 mg)","B. No.: Not Mentioned
Mfg dt: null
Exp dt: null
Mfd by: Manufactured in
the premises of firm
M/s Trizal Formulation,
Plot No. 29, HPSIDC,
Industrial Area, Distt.
Solan, Himachal
Pradesh.","Assay of
Rosuvastatin","Drug
Control
Department
Himarchal
Pradesh","RDTL
Chandigarh"
64.,"Loose Powder
(Purported to be
contain
Telmisartan)","B. No.: Not Mentioned
Mfg dt: null
Exp dt: null
Mfd by: Not Mentioned,
NM.","Identification of
Telmisartan","Drug
Control
Department
Himarchal
Pradesh","RDTL
Chandigarh"
66.,"Levocetirizine
Hydrochloride
Tablets IP
(Levocetirizine
Tablets)","B. No.: AF-22T619
Mfg dt: 08/2022
Exp dt: 07/2024
Mfd by: M/s. Affine
Formulations Ltd.,
1947/3, Vill. Bhatian,
Tehsil Nalagarh, Distt.
Solan 174101, Himachal
Pradesh, India.",Dissolution,"CDSCO
North Zone
Ghaziabad","RDTL
Chandigarh"
67.,"Metformin
Hydrochloride
Prolonged-release
and Glimepiride
Tablets IP
(GlimiSave M2
Tablets)","B. No.: GGLV22007
Mfg dt: 03/2022
Exp dt: 02/2025
Mfd by: M/s. Eris
Lifesciences Limited,
Amingaon, North
Guwahati, Dist. Kamrup -
(Assam) 781031.",Dissolution,"Drug
Control
Department
Himachal
Pradesh","RDTL
Chandigarh"
